Reward
-108.22035098240491
-112.64108686353006
-182.81350309832555
-129.32895961643987
-111.99113252387245
-107.90534253355898
-150.24155799823995
-105.50151956618143
-113.17345390232813
-82.98107635178238
-89.88665574803034
-103.36725958987282
-128.22262132179674
